id,location_name,address,longitude,latitude,status
1,wgesd,,,,
4,"Ministry of Revenue, Shashemene Fayda Registration Centers",https://goo.gl/maps/VyttBY7TeWpq2GxWA,7.201,38.607,0
5,"Ministry of Revenue, Sheno City Fayda Registration Centers ",https://goo.gl/maps/RViDnhXBkaoytb4f8,9.331,39.294,0
6,"Ministry of Revenue, Dodola City Fayda Registration Centers",https://goo.gl/maps/2wc4yREikVwoBKhZ8,6.979,39.181,0
7,"Ministry of Revenue, Robe City Fayda Registration Centers ",https://goo.gl/maps/QGES33BnYwGHSz819,7.12,40.007,0
8,"Ministry of Revenue, Jimma City Fayda Registration Centers",https://goo.gl/maps/rYu2rRPraYDQa4GW7,7.676,36.834,0
9,"Ministry of Revenue, Ginir City Fayda Registration Centers",https://goo.gl/maps/Z28Wv8Hgp6ierw5n9,7.139,40.712,0
10,"Ministry of Revenue, Bishooftu Fayda Registration Centers ",https://goo.gl/maps/3z9hA4SB2S9ftXbz8,8.75,38.96,0
11,Oromia Shahemene Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/sNGkmo65zLbb83dF8,7.208,38.608,0
12,Oromia Bishooftu Revenue Authority Fayda Registration Centers  (Coming Soon),https://goo.gl/maps/xZeDGejeiyjEKMys6,8.75,38.96,0
13,Somali Jigjiga Revenue  FDRE Ministry of Revenues  Fayda Registration Centers (Coming Soon),https://goo.gl/maps/45imx9vTkZPL7Ld17,9.35,42.819,0
14,Benishangul Gumuz Asosa town Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/AYkL3NPTt9oHzEmB7,10.065,34.543,0
15,Wolayita Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/TDxXq6BLfMgUE7kH6,6.853,37.76,0
16,Amaro Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/HAR1Yoi1DFJ6MHLw7,5.828,37.904,0
17,Laska Town Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/rSURkHSobK1A4sVYA,6.302,36.623,0
