index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,1,19309
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,2,56
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,3,1
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,5,158
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,11,15591
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,255,80204407
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,1,58635
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,2,14427
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,3,409
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,5,68
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,11,54375
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,12,2790
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,13,2246
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,255,93460224
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,1,10351
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,2,22144
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,3,1975
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,5,285
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,11,24264
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,12,1273
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,13,1509
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,255,74249172
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,1,49617
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,2,87
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,3,28
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,5,1143
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,11,41188
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,12,530
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,13,890
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,255,74929656
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,1,81523
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,2,32975
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,3,1796
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,5,278
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,11,94417
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,12,906
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,13,217
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,255,87889581
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,1,50050
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,2,30207
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,3,547
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,11,62373
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,12,1451
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,13,2342
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,255,93041075
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,1,89147
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,2,11779
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,3,175
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,11,52588
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,12,6975
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,13,23567
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,14,287
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,255,152732230
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,1,21079
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,2,48317
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,3,41885
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,5,462
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,11,83102
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,12,513
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,13,519
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,255,130848892
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,1,29243
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,2,1495
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,3,195
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,5,16
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,11,23538
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,255,89595928
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,1,33744
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,2,21673
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,3,1813
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,4,11
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,5,282
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,11,40572
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,12,3313
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,13,965
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,255,78537992
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,1,352
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,2,8614
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,3,81975
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,4,3
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,5,741
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,11,73862
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,12,779
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,13,872
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,255,55572064
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,1,29905
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,2,3262
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,3,236
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,5,207
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,11,24747
