index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,1,19309
,,,,,,,,2,56
,,,,,,,,3,1
,,,,,,,,5,158
,,,,,,,,11,15591
,,,,,,,,255,80204407
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,1,58635
,,,,,,,,2,14427
,,,,,,,,3,409
,,,,,,,,5,68
,,,,,,,,11,54375
,,,,,,,,12,2790
,,,,,,,,13,2246
,,,,,,,,255,93460224
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,1,10351
,,,,,,,,2,22144
,,,,,,,,3,1975
,,,,,,,,5,285
,,,,,,,,11,24264
,,,,,,,,12,1273
,,,,,,,,13,1509
,,,,,,,,255,74249172
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,1,49617
,,,,,,,,2,87
,,,,,,,,3,28
,,,,,,,,5,1143
,,,,,,,,11,41188
,,,,,,,,12,530
,,,,,,,,13,890
,,,,,,,,255,74929656
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,1,81523
,,,,,,,,2,32975
,,,,,,,,3,1796
,,,,,,,,5,278
,,,,,,,,11,94417
,,,,,,,,12,906
,,,,,,,,13,217
,,,,,,,,255,87889581
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,1,50050
,,,,,,,,2,30207
,,,,,,,,3,547
,,,,,,,,11,62373
,,,,,,,,12,1451
,,,,,,,,13,2342
,,,,,,,,255,93041075
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,1,89147
,,,,,,,,2,11779
,,,,,,,,3,175
,,,,,,,,11,52588
,,,,,,,,12,6975
,,,,,,,,13,23567
,,,,,,,,14,287
,,,,,,,,255,152732230
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,1,21079
,,,,,,,,2,48317
,,,,,,,,3,41885
,,,,,,,,5,462
,,,,,,,,11,83102
,,,,,,,,12,513
,,,,,,,,13,519
,,,,,,,,255,130848892
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,1,29243
,,,,,,,,2,1495
,,,,,,,,3,195
,,,,,,,,5,16
,,,,,,,,11,23538
,,,,,,,,255,89595928
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,1,33744
,,,,,,,,2,21673
,,,,,,,,3,1813
,,,,,,,,4,11
,,,,,,,,5,282
,,,,,,,,11,40572
,,,,,,,,12,3313
,,,,,,,,13,965
,,,,,,,,255,78537992
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,1,352
,,,,,,,,2,8614
,,,,,,,,3,81975
,,,,,,,,4,3
,,,,,,,,5,741
,,,,,,,,11,73862
,,,,,,,,12,779
,,,,,,,,13,872
,,,,,,,,255,55572064
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,1,29905
,,,,,,,,2,3262
,,,,,,,,3,236
,,,,,,,,5,207
,,,,,,,,11,24747
,,,,,,,,12,1156
,,,,,,,,13,1914
,,,,,,,,255,71764202
782.0,223578.0,ET2023A3050702,222750.0,Ethiopia,Somali,Dollo,Bokh,1,51887
,,,,,,,,2,33011
,,,,,,,,3,4110
,,,,,,,,11,58292
,,,,,,,,12,6770
,,,,,,,,13,7988
,,,,,,,,255,101344232
850.0,223646.0,ET2023A3120205,222760.0,Ethiopia,Gambela,Agniwak,Dima (GM),2,5153
,,,,,,,,3,9946
,,,,,,,,4,1
,,,,,,,,11,11473
,,,,,,,,12,105
,,,,,,,,13,301
,,,,,,,,21,153
,,,,,,,,255,111415200
590.0,223386.0,ET2023A3041212,222733.0,Ethiopia,Oromia,Borena,Teltale,1,2822
,,,,,,,,2,28537
,,,,,,,,3,49198
,,,,,,,,11,64541
,,,,,,,,12,572
,,,,,,,,13,1348
,,,,,,,,255,59595950
781.0,223577.0,ET2023A3050701,222750.0,Ethiopia,Somali,Dollo,Danod,1,23890
,,,,,,,,2,21578
,,,,,,,,3,1015
,,,,,,,,11,33854
,,,,,,,,12,1630
,,,,,,,,13,1477
,,,,,,,,255,140771178
812.0,223608.0,ET2023A3051187,222754.0,Ethiopia,Somali,Daawa,Mubarek,1,2373
,,,,,,,,2,6014
,,,,,,,,3,1505
,,,,,,,,11,7258
,,,,,,,,255,46742302
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,1,4005
,,,,,,,,2,34662
,,,,,,,,3,45727
,,,,,,,,5,447
,,,,,,,,11,67766
,,,,,,,,12,1451
,,,,,,,,13,1525
,,,,,,,,21,38
,,,,,,,,255,79159557
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,1,753
,,,,,,,,2,3725
,,,,,,,,3,46937
,,,,,,,,5,464
,,,,,,,,11,40369
,,,,,,,,12,2472
,,,,,,,,13,1894
,,,,,,,,255,36951588
113.0,222909.0,ET2023A3020208,222703.0,Ethiopia,Afar,Kilbati,Bidu,1,6101
,,,,,,,,2,193
,,,,,,,,11,5251
,,,,,,,,255,111756610
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,1,32683
,,,,,,,,2,1741
,,,,,,,,3,148
,,,,,,,,11,27555
,,,,,,,,255,58506994
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,1,10289
,,,,,,,,2,14915
,,,,,,,,3,3981
,,,,,,,,5,143
,,,,,,,,11,23458
,,,,,,,,12,408
,,,,,,,,13,458
,,,,,,,,255,75278371
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,1,3833
,,,,,,,,2,8300
,,,,,,,,3,34124
,,,,,,,,5,364
,,,,,,,,11,33533
,,,,,,,,12,1339
,,,,,,,,13,2081
,,,,,,,,21,782
,,,,,,,,22,40
,,,,,,,,23,364
,,,,,,,,255,79447268
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,1,27916
,,,,,,,,2,4653
,,,,,,,,3,250
,,,,,,,,11,23902
,,,,,,,,12,1684
,,,,,,,,13,558
,,,,,,,,255,41381616
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,1,7149
,,,,,,,,2,21
,,,,,,,,3,20
,,,,,,,,11,6011
,,,,,,,,255,23519303
93.0,222889.0,ET2023A3020101,222702.0,Ethiopia,Afar,Awusi,Dubti,1,63196
,,,,,,,,2,4918
,,,,,,,,3,1855
,,,,,,,,4,28
,,,,,,,,5,7
,,,,,,,,11,51317
,,,,,,,,12,3503
,,,,,,,,13,2647
,,,,,,,,255,57501142
1069.0,223865.0,ET2023A3182504,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Hamer,1,5629
,,,,,,,,2,23165
,,,,,,,,3,24846
,,,,,,,,5,8
,,,,,,,,11,43141
,,,,,,,,12,361
,,,,,,,,13,354
,,,,,,,,21,43
,,,,,,,,255,32640264
774.0,223570.0,ET2023A3050605,222749.0,Ethiopia,Somali,Shebelle,Kelafo,1,40307
,,,,,,,,2,13323
,,,,,,,,3,2952
,,,,,,,,4,52
,,,,,,,,11,35204
,,,,,,,,12,1814
,,,,,,,,13,1608
,,,,,,,,255,33843493
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,1,22123
,,,,,,,,2,4564
,,,,,,,,3,175
,,,,,,,,11,20850
,,,,,,,,12,358
,,,,,,,,13,202
,,,,,,,,255,40197394
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,1,25715
,,,,,,,,2,75
,,,,,,,,3,3
,,,,,,,,5,257
,,,,,,,,11,19514
,,,,,,,,12,645
,,,,,,,,13,702
,,,,,,,,21,42
,,,,,,,,255,78269908
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,1,22189
,,,,,,,,2,20533
,,,,,,,,3,4455
,,,,,,,,5,159
,,,,,,,,11,35569
,,,,,,,,12,1314
,,,,,,,,13,822
,,,,,,,,21,23
,,,,,,,,255,45859418
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,1,7710
,,,,,,,,2,35303
,,,,,,,,3,48008
,,,,,,,,4,2
,,,,,,,,5,3806
,,,,,,,,11,63117
,,,,,,,,12,4391
,,,,,,,,13,1189
,,,,,,,,255,61352906
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,1,3382
,,,,,,,,2,14844
,,,,,,,,3,32776
,,,,,,,,4,1
,,,,,,,,11,40796
,,,,,,,,12,902
,,,,,,,,13,792
,,,,,,,,255,37501433
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,1,206
,,,,,,,,2,8479
,,,,,,,,3,65825
,,,,,,,,4,6
,,,,,,,,5,1646
,,,,,,,,11,59278
,,,,,,,,12,1188
,,,,,,,,13,2098
,,,,,,,,21,66
,,,,,,,,255,79021642
703.0,223499.0,ET2023A3042298,222742.0,Ethiopia,Oromia,East Borena,Wachile,1,3651
,,,,,,,,2,10615
,,,,,,,,3,3379
,,,,,,,,5,28
,,,,,,,,11,14120
,,,,,,,,255,45442765
580.0,223376.0,ET2023A3041112,222732.0,Ethiopia,Oromia,Bale,Mena (Bale),1,1885
,,,,,,,,2,19715
,,,,,,,,3,64853
,,,,,,,,4,7
,,,,,,,,5,459
,,,,,,,,11,63242
,,,,,,,,12,3105
,,,,,,,,13,5077
,,,,,,,,255,49475186
555.0,223351.0,ET2023A3041004,222731.0,Ethiopia,Oromia,East Hararge,Babile (OR),1,28534
,,,,,,,,2,101304
,,,,,,,,3,55412
,,,,,,,,5,902
,,,,,,,,11,149529
,,,,,,,,12,1075
,,,,,,,,13,99
,,,,,,,,255,74524402
689.0,223485.0,ET2023A3042102,222741.0,Ethiopia,Oromia,East Bale,Lege Hida,1,7861
,,,,,,,,2,44410
,,,,,,,,3,30933
,,,,,,,,11,63988
,,,,,,,,12,1034
,,,,,,,,13,1897
,,,,,,,,255,100703283
814.0,223610.0,ET2023A3060201,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Dangura,1,255
,,,,,,,,2,4189
,,,,,,,,3,54009
,,,,,,,,5,283
,,,,,,,,11,43093
,,,,,,,,12,2852
,,,,,,,,13,329
,,,,,,,,255,35130593
802.0,223598.0,ET2023A3050999,222752.0,Ethiopia,Somali,Liben,Bokolmayo,1,50413
,,,,,,,,2,4947
,,,,,,,,3,313
,,,,,,,,5,142
,,,,,,,,11,28194
,,,,,,,,12,8600
,,,,,,,,13,413
,,,,,,,,255,76496687
972.0,223768.0,ET2023A3171806,222772.0,Ethiopia,South West Ethiopia,West Omo,Surma,1,4
,,,,,,,,2,412
,,,,,,,,3,3416
,,,,,,,,11,3171
,,,,,,,,255,39706156
799.0,223595.0,ET2023A3050903,222752.0,Ethiopia,Somali,Liben,Goro Baqaqsa,1,7640
,,,,,,,,2,5828
,,,,,,,,3,672
,,,,,,,,11,10477
,,,,,,,,255,29985840
1068.0,223864.0,ET2023A3182501,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Salamago,1,460
,,,,,,,,2,4071
,,,,,,,,3,13233
,,,,,,,,5,26
,,,,,,,,11,14176
,,,,,,,,21,3
,,,,,,,,255,32487354
730.0,223526.0,ET2023A3050207,222745.0,Ethiopia,Somali,Fafan,Harshin,1,58272
,,,,,,,,2,9881
,,,,,,,,3,763
,,,,,,,,11,56675
,,,,,,,,12,479
,,,,,,,,13,630
,,,,,,,,255,33606434
973.0,223769.0,ET2023A3171807,222772.0,Ethiopia,South West Ethiopia,West Omo,Maji,1,1988
,,,,,,,,2,2203
,,,,,,,,3,11968
,,,,,,,,5,68
,,,,,,,,11,13628
,,,,,,,,255,41114878
699.0,223495.0,ET2023A3042208,222742.0,Ethiopia,Oromia,East Borena,Arero,1,11751
,,,,,,,,2,24910
,,,,,,,,3,19479
,,,,,,,,4,3
,,,,,,,,5,174
,,,,,,,,11,43994
,,,,,,,,255,29463385
0.0,222796.0,ET2023A3010101,222695.0,Ethiopia,Tigray,Northwest Tigray,Tahtay Adiyabo,1,28387
,,,,,,,,2,93918
,,,,,,,,3,43180
,,,,,,,,4,5
,,,,,,,,5,228
,,,,,,,,11,132869
,,,,,,,,12,861
,,,,,,,,13,364
,,,,,,,,21,127
,,,,,,,,255,26204360
719.0,223515.0,ET2023A3050104,222744.0,Ethiopia,Somali,Sitti,Erer (SM),1,36001
,,,,,,,,2,20000
,,,,,,,,3,8715
,,,,,,,,4,1
,,,,,,,,5,386
,,,,,,,,11,49197
,,,,,,,,12,812
,,,,,,,,13,1266
,,,,,,,,21,149
,,,,,,,,22,80
,,,,,,,,23,474
,,,,,,,,255,35038080
