id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3, area_google_mean, area_google_sd, area_google_sum
222796,ET2023A3010101,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Adiyabo,33.81432028477095,38.762713901480794,1638641.9610000001
222797,ET2023A3010103,222695,Ethiopia,Tigray,Northwest Tigray,Zana,38.03912551224387,35.76320031235037,761162.9014999999
222798,ET2023A3010104,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Koraro,39.89275770734067,65.5571757491482,2143358.0860999995
222799,ET2023A3010105,222695,Ethiopia,Tigray,Northwest Tigray,Asgede,33.58215520755486,32.492451608473495,1482887.2275
222800,ET2023A3010106,222695,Ethiopia,Tigray,Northwest Tigray,Tselemti,35.51751535192344,36.37839816786783,1295359.3024
222801,ET2023A3010107,222695,Ethiopia,Tigray,Northwest Tigray,Sheraro town,71.6060104190785,96.46746488221206,618532.7180000001
222802,ET2023A3010108,222695,Ethiopia,Tigray,Northwest Tigray,Shire Endaslasie town,83.14890815015087,130.0365589764378,2122043.2849000003
222803,ET2023A3010109,222695,Ethiopia,Tigray,Northwest Tigray,Selekleka,36.580470924391506,43.87372287616395,1412737.7871
222804,ET2023A3010110,222695,Ethiopia,Tigray,Northwest Tigray,Seyemti Adyabo,44.636412711548495,40.05649041400946,598708.2037
222805,ET2023A3010111,222695,Ethiopia,Tigray,Northwest Tigray,Adi Daero,42.074181083346765,52.17436979619965,1304930.7263
222806,ET2023A3010112,222695,Ethiopia,Tigray,Northwest Tigray,Adi Hageray,38.45568124429571,48.3977882512969,758422.9455
222807,ET2023A3010113,222695,Ethiopia,Tigray,Northwest Tigray,Tsimbla,37.54527474963784,37.66307386464758,1192212.6543999999
222808,ET2023A3010114,222695,Ethiopia,Tigray,Northwest Tigray,Endabaguna town,62.19458614362087,69.25751930441379,430448.7307
222809,ET2023A3010115,222695,Ethiopia,Tigray,Northwest Tigray,Dima (TG),27.980812709251833,26.947051840238803,844097.177
222810,ET2023A3010116,222695,Ethiopia,Tigray,Northwest Tigray,May Tsebri town,61.50934771433817,69.05922640452565,335041.417
222811,ET2023A3010201,222696,Ethiopia,Tigray,Central Tigray,Chila,27.461208726455357,26.77941627031306,965151.6419
222812,ET2023A3010202,222696,Ethiopia,Tigray,Central Tigray,Aheferom,41.654194205599985,47.101632129469806,2078252.7115
222813,ET2023A3010203,222696,Ethiopia,Tigray,Central Tigray,Endaba Tsahma,35.51218180493705,43.07026063695079,1291862.1497
222814,ET2023A3010204,222696,Ethiopia,Tigray,Central Tigray,Adwa,38.274384067347874,41.276823584387444,2573301.664
222815,ET2023A3010205,222696,Ethiopia,Tigray,Central Tigray,Laelay Maychew,40.7102144083522,66.26733449474142,1996469.6248
222816,ET2023A3010206,222696,Ethiopia,Tigray,Central Tigray,Tahtay Mayechew,38.57780863508296,37.85592206611707,1478764.5606
