id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223677,ET2023A3150112,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Hafat Issa,0.23784106969833374,0.0,0.23784106969833374
223725,ET2023A3170805,222768,Ethiopia,South West Ethiopia,Sheka,Masha town,0.32150861620903015,0.0,0.32150861620903015
223850,ET2023A3181511,222779,Ethiopia,South Ethiopia,Gofa,Laha town,0.32352228462696075,0.0018057674169540405,0.6470445692539215
222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,0.21719034016132355,0.0,0.21719034016132355
223675,ET2023A3150110,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Gende Kore,0.23676152527332306,0.0,0.23676152527332306
223676,ET2023A3150111,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Dechatu,0.28541603684425354,0.0,0.28541603684425354
223095,ET2023A3030809,222715,Ethiopia,Amhara,Wag Himra,Amde Work town,0.18582671880722046,0.0,0.18582671880722046
223673,ET2023A3150105,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Legehare,0.23717917501926422,0.0,0.23717917501926422
223043,ET2023A3030527,222712,Ethiopia,Amhara,North Shewa (AM),Molale town,0.21041882038116455,0.0,0.21041882038116455
223107,ET2023A3030912,222716,Ethiopia,Amhara,Awi,Fendika town,0.287454217672348,0.0,0.287454217672348
223762,ET2023A3171712,222771,Ethiopia,South West Ethiopia,Dawro,Gesa town,0.38475656509399414,0.0,0.38475656509399414
223014,ET2023A3030430,222711,Ethiopia,Amhara,South Wollo,Wegde town,0.1759520247578621,0.0002852007746696472,0.3519040495157242
223119,ET2023A3031008,222717,Ethiopia,Amhara,Oromia,Senbete town,0.22714657336473465,0.005757056176662445,0.4542931467294693
223719,ET2023A3160036,222767,Ethiopia,Sidama,Sidama,Wondo-Genet town,0.3940637409687042,0.0,0.3940637409687042
223863,ET2023A3182412,222784,Ethiopia,South Ethiopia,South Omo (Agr),Gelila town,0.2898777276277542,0.0045958012342453,0.5797554552555084
223853,ET2023A3182101,222781,Ethiopia,South Ethiopia,Amaro,Kele town,0.33987265825271606,0.03276517987251282,0.6797453165054321
222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,0.22097989916801453,0.0,0.22097989916801453
222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,0.18945394456386566,0.0030873268842697144,0.3789078891277313
223118,ET2023A3031007,222717,Ethiopia,Amhara,Oromia,Chef Robit town,0.2079749032855034,0.006574906408786774,0.4159498065710068
223895,ET2023A3190213,222787,Ethiopia,Central Ethiopia,Hadiya,Gimbichu town,0.31464574734369916,0.004177127819663167,0.9439372420310974
223106,ET2023A3030911,222716,Ethiopia,Amhara,Awi,Adiss Kidame town,0.21440289169549942,0.0070167407393455505,0.42880578339099884
223849,ET2023A3181510,222779,Ethiopia,South Ethiopia,Gofa,Beto town,0.36881306767463684,0.004045426845550537,0.7376261353492737
223068,ET2023A3030621,222713,Ethiopia,Amhara,East Gojam,Amanuel town,0.22781158487002054,0.007121141736347535,0.6834347546100616
223823,ET2023A3181012,222776,Ethiopia,South Ethiopia,Gamo,Kemba town,0.3223164677619934,0.002504624820508815,1.2892658710479736
