id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_rw,hweatlth_rw,education_rw
222796,ET2023A3010101,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Adiyabo,0.3569688063825858,0.7454224843950974,0.6518603721387357
222797,ET2023A3010103,222695,Ethiopia,Tigray,Northwest Tigray,Zana,0.30003669785592224,0.6273610193219686,0.5514195219834221
222798,ET2023A3010104,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Koraro,0.2640011692599578,0.5374770395030419,0.5253096601090658
222799,ET2023A3010105,222695,Ethiopia,Tigray,Northwest Tigray,Asgede,0.36560682460404376,0.7225917776425643,0.63686923676638
222800,ET2023A3010106,222695,Ethiopia,Tigray,Northwest Tigray,Tselemti,0.3492990713152993,0.6942600839303864,0.6371006847457268
222801,ET2023A3010107,222695,Ethiopia,Tigray,Northwest Tigray,Sheraro town,0.2978045570616969,0.30808060407551974,0.49203175570135355
222802,ET2023A3010108,222695,Ethiopia,Tigray,Northwest Tigray,Shire Endaslasie town,0.22764690499066595,0.04684458090339975,0.18158937864156027
222803,ET2023A3010109,222695,Ethiopia,Tigray,Northwest Tigray,Selekleka,0.25898523646964605,0.5161185899961734,0.4775005827872122
222804,ET2023A3010110,222695,Ethiopia,Tigray,Northwest Tigray,Seyemti Adyabo,0.3281554954023697,0.7223949468327859,0.6820891022048126
222805,ET2023A3010111,222695,Ethiopia,Tigray,Northwest Tigray,Adi Daero,0.2914809053755037,0.604665555376002,0.58315503154412
222806,ET2023A3010112,222695,Ethiopia,Tigray,Northwest Tigray,Adi Hageray,0.312317880641152,0.6567667716175457,0.6596377432814005
222807,ET2023A3010113,222695,Ethiopia,Tigray,Northwest Tigray,Tsimbla,0.31791627573200615,0.6449058664263282,0.5958649491013923
222808,ET2023A3010114,222695,Ethiopia,Tigray,Northwest Tigray,Endabaguna town,0.2751610232249222,0.18424108931116445,0.3753103313906911
222809,ET2023A3010115,222695,Ethiopia,Tigray,Northwest Tigray,Dima (TG),0.35545593783655466,0.6605891186868474,0.5751965316973955
222810,ET2023A3010116,222695,Ethiopia,Tigray,Northwest Tigray,May Tsebri town,0.3300814503047923,0.368568360327805,0.4625616658275037
222811,ET2023A3010201,222696,Ethiopia,Tigray,Central Tigray,Chila,0.30978681275956566,0.7226444015242619,0.6210015096416633
222812,ET2023A3010202,222696,Ethiopia,Tigray,Central Tigray,Aheferom,0.2665122621066351,0.5066390432210511,0.4690377117133293
222813,ET2023A3010203,222696,Ethiopia,Tigray,Central Tigray,Endaba Tsahma,0.29499357732288145,0.5664904838530592,0.5131092555752399
222814,ET2023A3010204,222696,Ethiopia,Tigray,Central Tigray,Adwa,0.3174773830544059,0.5935021555787202,0.4834111673128487
222815,ET2023A3010205,222696,Ethiopia,Tigray,Central Tigray,Laelay Maychew,0.28031412397663635,0.5382400285615383,0.46825546046190053
222816,ET2023A3010206,222696,Ethiopia,Tigray,Central Tigray,Tahtay Mayechew,0.2642530016341929,0.5127471594058359,0.48542369037771244
222817,ET2023A3010207,222696,Ethiopia,Tigray,Central Tigray,Adet,0.3463286249979803,0.6320504405143634,0.53507144199442
222818,ET2023A3010208,222696,Ethiopia,Tigray,Central Tigray,Kola Temben,0.41483027306154224,0.7313474110669915,0.5081257490966987
222819,ET2023A3010209,222696,Ethiopia,Tigray,Central Tigray,Naeder,0.34939463287754363,0.6750241820704881,0.5585182450466367
222820,ET2023A3010210,222696,Ethiopia,Tigray,Central Tigray,Abergele (TG),0.37251183400660626,0.7342292577055868,0.6026675061651001
222821,ET2023A3010211,222696,Ethiopia,Tigray,Central Tigray,Abi Adi town,0.3080289319227277,0.1023029304000599,0.28667646098189187
222822,ET2023A3010212,222696,Ethiopia,Tigray,Central Tigray,Adwa town,0.3047020465774431,0.06766861544021617,0.20282824928184853
222823,ET2023A3010213,222696,Ethiopia,Tigray,Central Tigray,Axum town,0.23643352034333373,0.030966541253778998,0.1300319671058941
222824,ET2023A3010214,222696,Ethiopia,Tigray,Central Tigray,Rama,0.3157322205477931,0.6976801360228052,0.5750412713597532
222825,ET2023A3010215,222696,Ethiopia,Tigray,Central Tigray,Ahsea,0.3173991115465702,0.669661371577782,0.5609475695672665
222826,ET2023A3010216,222696,Ethiopia,Tigray,Central Tigray,Egela,0.32374244643020456,0.6432978020762133,0.5877430523526432
222827,ET2023A3010217,222696,Ethiopia,Tigray,Central Tigray,Hahayle,0.25512947220392623,0.5634277140961399,0.48071662805324844
222828,ET2023A3010218,222696,Ethiopia,Tigray,Central Tigray,Endafelasi,0.3518818902099706,0.6760410857938108,0.5146281998747306
222829,ET2023A3010219,222696,Ethiopia,Tigray,Central Tigray,Emba Sieneti,0.27640317015817295,0.5653366348204097,0.532527897939497
222830,ET2023A3010220,222696,Ethiopia,Tigray,Central Tigray,Enticho town,0.2418154408904468,0.11713477072959105,0.25940689248235504
222831,ET2023A3010221,222696,Ethiopia,Tigray,Central Tigray,Keyhe tekli,0.3644541043659199,0.6834281634969186,0.5276701667207677
222832,ET2023A3010222,222696,Ethiopia,Tigray,Central Tigray,Tanqua Melashe,0.3195232382335588,0.6366155158819329,0.5184037797699588
222833,ET2023A3010301,222697,Ethiopia,Tigray,East Tigray,Gulo Mekeda,0.24170189333129372,0.4555903366212239,0.5693540042542867
222834,ET2023A3010302,222697,Ethiopia,Tigray,East Tigray,Erob,0.3179888588128032,0.6186475265584226,0.6673117389621138
222835,ET2023A3010303,222697,Ethiopia,Tigray,East Tigray,Saesie,0.2706715440632089,0.5340763561739177,0.599597457034993
222836,ET2023A3010304,222697,Ethiopia,Tigray,East Tigray,Ganta Afeshum,0.2268163002459447,0.4016319168882392,0.48637307773270955
222837,ET2023A3010305,222697,Ethiopia,Tigray,East Tigray,Hawzen,0.25284883447920703,0.5274910185448669,0.5633367327986986
222838,ET2023A3010306,222697,Ethiopia,Tigray,East Tigray,Kelete Awelallo,0.2513133180061093,0.4616404656719145,0.5368820873782001
222839,ET2023A3010307,222697,Ethiopia,Tigray,East Tigray,Atsbi,0.23546425242252636,0.5098102404759585,0.6427976087673787
222840,ET2023A3010308,222697,Ethiopia,Tigray,East Tigray,Adigrat town,0.2046757928333713,0.05735830216648193,0.20140375332554405
222841,ET2023A3010309,222697,Ethiopia,Tigray,East Tigray,Wukro town,0.2098084914774312,0.042619170574868394,0.23576235367530998
222842,ET2023A3010310,222697,Ethiopia,Tigray,East Tigray,Bizet,0.2375772696062315,0.4434133223403312,0.5084933336273735
222843,ET2023A3010311,222697,Ethiopia,Tigray,East Tigray,Edaga Hamus town,0.2188553599568281,0.06429428375462566,0.3485068556193632
222844,ET2023A3010312,222697,Ethiopia,Tigray,East Tigray,Hawzen town,0.21603126925205127,0.05156614731600908,0.2773232598894284
222845,ET2023A3010313,222697,Ethiopia,Tigray,East Tigray,Freweyni town,0.2366114335045019,0.10561535890729501,0.42214349900933845
222846,ET2023A3010314,222697,Ethiopia,Tigray,East Tigray,Tsaeda Emba,0.2557033086876427,0.5249424279366725,0.6107940381132018
222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,0.21873582305758513,0.3176267822039502,0.5630403287936085
222848,ET2023A3010316,222697,Ethiopia,Tigray,East Tigray,Agulae,0.24512157771306298,0.4775615112829529,0.5650615731421631
222849,ET2023A3010317,222697,Ethiopia,Tigray,East Tigray,Geraleta,0.2705678583990057,0.5323816871721386,0.5562696781966769
222850,ET2023A3010318,222697,Ethiopia,Tigray,East Tigray,Zala Anbesa town,0.24173995852470398,0.12982779741287231,0.5050089359283447
222851,ET2023A3010401,222698,Ethiopia,Tigray,South Tigray,Selewa,0.23254271767517534,0.5302645251097922,0.6234904403704258
222852,ET2023A3010402,222698,Ethiopia,Tigray,South Tigray,Bora (TG),0.24034216808016087,0.5673714182557194,0.6142432659123456
222853,ET2023A3010403,222698,Ethiopia,Tigray,South Tigray,Neqsege,0.18145544674061231,0.5084303956967301,0.67209512643531
222854,ET2023A3010404,222698,Ethiopia,Tigray,South Tigray,Emba Alaje,0.2205817320077868,0.38754565606223706,0.5813871185785121
222855,ET2023A3010405,222698,Ethiopia,Tigray,South Tigray,Endamehoni,0.18315873555982284,0.4081309580765226,0.6491453246985535
