id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,hwealth_mean,hwealth_sd,hwealth_sum
223677,ET2023A3150112,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Hafat Issa,0.00048014268395490944,0.0,0.00048014268395490944
223725,ET2023A3170805,222768,Ethiopia,South West Ethiopia,Sheka,Masha town,0.19121699035167694,0.0,0.19121699035167694
223850,ET2023A3181511,222779,Ethiopia,South Ethiopia,Gofa,Laha town,0.19751204550266266,0.015823960304260254,0.3950240910053253
222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,0.2936742603778839,0.0,0.2936742603778839
223675,ET2023A3150110,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Gende Kore,8.721744234208018e-05,0.0,8.721744234208018e-05
223676,ET2023A3150111,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Dechatu,0.2210741639137268,0.0,0.2210741639137268
223095,ET2023A3030809,222715,Ethiopia,Amhara,Wag Himra,Amde Work town,0.2203403264284134,0.0,0.2203403264284134
223673,ET2023A3150105,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Legehare,0.00192786764819175,0.0,0.00192786764819175
223043,ET2023A3030527,222712,Ethiopia,Amhara,North Shewa (AM),Molale town,0.08339186757802963,0.0,0.08339186757802963
223107,ET2023A3030912,222716,Ethiopia,Amhara,Awi,Fendika town,0.14282020926475525,0.0,0.14282020926475525
223762,ET2023A3171712,222771,Ethiopia,South West Ethiopia,Dawro,Gesa town,0.2597056031227112,0.0,0.2597056031227112
223014,ET2023A3030430,222711,Ethiopia,Amhara,South Wollo,Wegde town,0.09982180967926979,0.009339649230241776,0.19964361935853958
223119,ET2023A3031008,222717,Ethiopia,Amhara,Oromia,Senbete town,0.31618334352970123,0.040564343333244324,0.6323666870594025
223719,ET2023A3160036,222767,Ethiopia,Sidama,Sidama,Wondo-Genet town,0.11522290855646133,0.0,0.11522290855646133
223863,ET2023A3182412,222784,Ethiopia,South Ethiopia,South Omo (Agr),Gelila town,0.20849119126796722,0.026421695947647095,0.41698238253593445
223853,ET2023A3182101,222781,Ethiopia,South Ethiopia,Amaro,Kele town,0.29754549264907837,0.0028137564659118652,0.5950909852981567
222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,0.47586116194725037,0.0,0.47586116194725037
222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,0.39994996786117554,0.02529945969581604,0.7998999357223511
223118,ET2023A3031007,222717,Ethiopia,Amhara,Oromia,Chef Robit town,0.21950524300336838,0.03621918708086014,0.43901048600673676
223895,ET2023A3190213,222787,Ethiopia,Central Ethiopia,Hadiya,Gimbichu town,0.14936563372612,0.009423096846474518,0.44809690117836
223106,ET2023A3030911,222716,Ethiopia,Amhara,Awi,Adiss Kidame town,0.11656622216105461,0.0206252820789814,0.23313244432210922
223849,ET2023A3181510,222779,Ethiopia,South Ethiopia,Gofa,Beto town,0.3141172081232071,0.027646735310554504,0.6282344162464142
223068,ET2023A3030621,222713,Ethiopia,Amhara,East Gojam,Amanuel town,0.07489415506521861,0.003357021518083362,0.22468246519565582
223823,ET2023A3181012,222776,Ethiopia,South Ethiopia,Gamo,Kemba town,0.2032320834696293,0.044542505995227376,0.8129283338785172
223069,ET2023A3030622,222713,Ethiopia,Amhara,East Gojam,Lumame town,0.06866339594125748,0.0,0.06866339594125748
223790,ET2023A3180513,222774,Ethiopia,South Ethiopia,Gedeo,Wenago town,0.08160177245736122,0.008851666003465652,0.16320354491472244
223789,ET2023A3180512,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe town,0.08238203171640635,0.025950565735054058,0.3295281268656254
223785,ET2023A3180508,222774,Ethiopia,South Ethiopia,Gedeo,Chelelektu town,0.19330767542123795,0.007485620677471161,0.3866153508424759
223044,ET2023A3030528,222712,Ethiopia,Amhara,North Shewa (AM),Enewari town,0.13241492956876755,0.005996145308017731,0.2648298591375351
223042,ET2023A3030526,222712,Ethiopia,Amhara,North Shewa (AM),Arerti town,0.07286467775702477,0.0059838853776454926,0.14572935551404953
222963,ET2023A3030218,222709,Ethiopia,Amhara,South Gondar,Ebenat town,0.18326517194509506,0.0015472844243049622,0.3665303438901901
223016,ET2023A3030499,222711,Ethiopia,Amhara,South Wollo,Hike town,0.10071141459047794,0.03908980451524258,0.2014228291809559
223012,ET2023A3030428,222711,Ethiopia,Amhara,South Wollo,Kelela town,0.12364412099123001,0.011777468025684357,0.24728824198246002
223009,ET2023A3030425,222711,Ethiopia,Amhara,South Wollo,Harbu town,0.22429466247558594,0.061041558292179283,0.6728839874267578
223718,ET2023A3160035,222767,Ethiopia,Sidama,Sidama,Chuko town,0.04098602011799812,0.0,0.04098602011799812
223085,ET2023A3030721,222714,Ethiopia,Amhara,West Gojam,Shendi town,0.11136766523122787,0.006864137947559357,0.22273533046245575
223154,ET2023A3031319,222720,Ethiopia,Amhara,North Gojam,Dure Bete,0.02914965944364667,0.022842365502868837,0.11659863777458668
223013,ET2023A3030429,222711,Ethiopia,Amhara,South Wollo,Tulu Awila,0.15145637840032578,0.0008379444479942322,0.30291275680065155
223852,ET2023A3181602,222780,Ethiopia,South Ethiopia,Basketo,Laska town,0.2162133939564228,0.012862304578262486,0.8648535758256912
222961,ET2023A3030216,222709,Ethiopia,Amhara,South Gondar,Hamusit town,0.1321988720446825,0.046413098440843556,0.52879548817873
222808,ET2023A3010114,222695,Ethiopia,Tigray,Northwest Tigray,Endabaguna town,0.2456494763493538,0.14922864865019686,1.228247381746769
223343,ET2023A3040914,222730,Ethiopia,Oromia,West Hararge,Bedesa town,0.14714024712642035,0.045215994410599904,0.441420741379261
223109,ET2023A3030997,222716,Ethiopia,Amhara,Awi,Zigem town,0.24977293908596038,0.012498273662364534,1.248864695429802
223347,ET2023A3041000,222731,Ethiopia,Oromia,East Hararge,Babile town,0.2778782993555069,0.030577231537936612,1.1115131974220276
223369,ET2023A3041097,222731,Ethiopia,Oromia,East Hararge,Deder town,0.20972907170653343,0.06227484386786626,0.8389162868261337
223105,ET2023A3030910,222716,Ethiopia,Amhara,Awi,Tilili town,0.09464674070477486,0.03098526526850713,0.3785869628190994
223921,ET2023A3192517,222791,Ethiopia,Central Ethiopia,East Gurage,Bui town,0.11365460604429245,0.03664685809893001,0.34096381813287735
223896,ET2023A3190214,222787,Ethiopia,Central Ethiopia,Hadiya,Jajura town,0.2182043083012104,0.038944791667332876,0.8728172332048416
223705,ET2023A3160022,222767,Ethiopia,Sidama,Sidama,Leku town,0.12743345151344934,0.03573221560910711,0.38230035454034805
223713,ET2023A3160030,222767,Ethiopia,Sidama,Sidama,Daye town,0.06158656254410744,0.007525499910116196,0.12317312508821487
223138,ET2023A3031128,222718,Ethiopia,Amhara,Central Gondar,Kollo Debba town,0.139798104763031,0.010259483947669826,0.559192419052124
223835,ET2023A3181301,222778,Ethiopia,South Ethiopia,Konso,Karat town,0.29338204115629196,0.027915174703875067,1.1735281646251678
222850,ET2023A3010318,222697,Ethiopia,Tigray,East Tigray,Zala Anbesa town,0.3453280031681061,0.21550020575523376,0.6906560063362122
223139,ET2023A3031129,222718,Ethiopia,Amhara,Central Gondar,Shawra town,0.21363219246268272,0.034000720219860225,0.8545287698507309
223806,ET2023A3180616,222775,Ethiopia,South Ethiopia,Wolayita,Tebela town,0.2291567325592041,0.049439007198411954,0.9166269302368164
223071,ET2023A3030624,222713,Ethiopia,Amhara,East Gojam,Debrework town,0.11940483500560124,0.010248553576700315,0.35821450501680374
222845,ET2023A3010313,222697,Ethiopia,Tigray,East Tigray,Freweyni town,0.1323734731413424,0.08549892596779736,0.5294938925653696
223073,ET2023A3030698,222713,Ethiopia,Amhara,East Gojam,Dejen town,0.11346418783068657,0.0073204003274440765,0.22692837566137314
222843,ET2023A3010311,222697,Ethiopia,Tigray,East Tigray,Edaga Hamus town,0.0802247837127652,0.07025508830565437,0.3208991348510608
223814,ET2023A3181003,222776,Ethiopia,South Ethiopia,Gamo,Selamber town,0.23279714211821556,0.01817699189769608,0.9311885684728622
223155,ET2023A3031397,222720,Ethiopia,Amhara,North Gojam,Merawi town,0.0827445387840271,0.021364309381914533,0.3309781551361084
223007,ET2023A3030423,222711,Ethiopia,Amhara,South Wollo,Wereilu town,0.07721224178870519,0.012893886485140622,0.23163672536611557
223140,ET2023A3031199,222718,Ethiopia,Amhara,Central Gondar,Aykel town,0.16701240465044975,0.018511360273487206,0.668049618601799
