,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_mean,population_sd,population_sum
0,222796,ET2023A3010101,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Adiyabo,4.2125154,1.7670405,87607.6796875
1,222797,ET2023A3010103,222695,Ethiopia,Tigray,Northwest Tigray,Zana,7.3560605,2.275458,62916.38671875
2,222798,ET2023A3010104,222695,Ethiopia,Tigray,Northwest Tigray,Tahtay Koraro,6.054163,2.6491883,96479.140625
3,222799,ET2023A3010105,222695,Ethiopia,Tigray,Northwest Tigray,Asgede,5.6356673,3.1413887,120563.828125
4,222800,ET2023A3010106,222695,Ethiopia,Tigray,Northwest Tigray,Tselemti,6.280854,3.2553947,94124.8828125
5,222801,ET2023A3010107,222695,Ethiopia,Tigray,Northwest Tigray,Sheraro town,23.295221,20.592989,27698.017578125
6,222802,ET2023A3010108,222695,Ethiopia,Tigray,Northwest Tigray,Shire Endaslasie town,58.121708,55.313065,77476.234375
7,222803,ET2023A3010109,222695,Ethiopia,Tigray,Northwest Tigray,Selekleka,8.838865,5.3569646,92242.3984375
8,222804,ET2023A3010110,222695,Ethiopia,Tigray,Northwest Tigray,Seyemti Adyabo,7.204694,3.9992242,44705.125
9,222805,ET2023A3010111,222695,Ethiopia,Tigray,Northwest Tigray,Adi Daero,7.1178803,5.100302,71684.171875
10,222806,ET2023A3010112,222695,Ethiopia,Tigray,Northwest Tigray,Adi Hageray,4.041526,2.5178916,31588.56640625
11,222807,ET2023A3010113,222695,Ethiopia,Tigray,Northwest Tigray,Tsimbla,4.988455,2.0223804,87113.390625
12,222808,ET2023A3010114,222695,Ethiopia,Tigray,Northwest Tigray,Endabaguna town,24.12717,13.084426,6273.064453125
13,222809,ET2023A3010115,222695,Ethiopia,Tigray,Northwest Tigray,Dima (TG),7.5763426,3.3119552,91764.6640625
14,222810,ET2023A3010116,222695,Ethiopia,Tigray,Northwest Tigray,May Tsebri town,22.86386,14.163011,5761.6923828125
15,222811,ET2023A3010201,222696,Ethiopia,Tigray,Central Tigray,Chila,7.5175443,3.9458039,83166.59375
16,222812,ET2023A3010202,222696,Ethiopia,Tigray,Central Tigray,Aheferom,9.227799,4.65452,116547.1015625
17,222813,ET2023A3010203,222696,Ethiopia,Tigray,Central Tigray,Endaba Tsahma,7.100649,4.728494,68187.53125
18,222814,ET2023A3010204,222696,Ethiopia,Tigray,Central Tigray,Adwa,6.2077746,2.9500198,127600.8046875
19,222815,ET2023A3010205,222696,Ethiopia,Tigray,Central Tigray,Laelay Maychew,6.8986797,2.9795516,94408.4296875
20,222816,ET2023A3010206,222696,Ethiopia,Tigray,Central Tigray,Tahtay Mayechew,8.82457,6.8442545,87107.328125
21,222817,ET2023A3010207,222696,Ethiopia,Tigray,Central Tigray,Adet,9.360512,3.076067,89149.515625
22,222818,ET2023A3010208,222696,Ethiopia,Tigray,Central Tigray,Kola Temben,6.6118717,2.8164647,97961.4921875
23,222819,ET2023A3010209,222696,Ethiopia,Tigray,Central Tigray,Naeder,9.300435,4.2599764,84280.546875
24,222820,ET2023A3010210,222696,Ethiopia,Tigray,Central Tigray,Abergele (TG),5.902859,2.7378154,94681.859375
25,222821,ET2023A3010211,222696,Ethiopia,Tigray,Central Tigray,Abi Adi town,36.108047,27.09856,21195.423828125
26,222822,ET2023A3010212,222696,Ethiopia,Tigray,Central Tigray,Adwa town,34.596848,32.644405,71580.875
27,222823,ET2023A3010213,222696,Ethiopia,Tigray,Central Tigray,Axum town,46.593414,31.895063,62947.703125
28,222824,ET2023A3010214,222696,Ethiopia,Tigray,Central Tigray,Rama,7.4892325,4.58763,71619.53125
29,222825,ET2023A3010215,222696,Ethiopia,Tigray,Central Tigray,Ahsea,5.700272,3.0828388,35056.671875
