id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
223677,ET2023A3150112,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Hafat Issa,1.6609019300213909e+38,1.7009294052642581e+38,1.3951576212179683e+40
223725,ET2023A3170805,222768,Ethiopia,South West Ethiopia,Sheka,Masha town,2.4570235905319756e+38,1.5244187767453548e+38,8.13274808466084e+40
223850,ET2023A3181511,222779,Ethiopia,South Ethiopia,Gofa,Laha town,1.6434689187495511e+38,1.7004248046003125e+38,5.30840460756105e+40
222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,1.5397391250612166e+38,1.6937130375673382e+38,3.4028234663852886e+40
223675,ET2023A3150110,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Gende Kore,1.502545426715582e+38,1.6897497086828476e+38,2.3139199571419962e+40
223676,ET2023A3150111,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Dechatu,1.7971161431847305e+38,1.6987179141204302e+38,5.750771658191138e+40
223095,ET2023A3030809,222715,Ethiopia,Amhara,Wag Himra,Amde Work town,1.5530835308117471e+38,1.6949338129331332e+38,3.028512885082907e+40
223673,ET2023A3150105,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Legehare,1.7730501219586504e+38,1.6999028875499352e+38,3.3687952317214357e+40
223043,ET2023A3030527,222712,Ethiopia,Amhara,North Shewa (AM),Molale town,1.8663685494301583e+38,1.6933963312297512e+38,6.737590463442871e+40
223107,ET2023A3030912,222716,Ethiopia,Amhara,Awi,Fendika town,1.7014117331926443e+38,1.7014117331926443e+38,5.988969300838108e+40
223762,ET2023A3171712,222771,Ethiopia,South West Ethiopia,Dawro,Gesa town,1.7426580782397387e+38,1.7009117040181286e+38,5.750771658191138e+40
223014,ET2023A3030430,222711,Ethiopia,Amhara,South Wollo,Wegde town,1.9663021826717386e+38,1.6806650277852398e+38,6.567449290123607e+40
223119,ET2023A3031008,222717,Ethiopia,Amhara,Oromia,Senbete town,2.044553595349144e+38,1.6664499837322952e+38,4.866037556930963e+40
223719,ET2023A3160036,222767,Ethiopia,Sidama,Sidama,Wondo-Genet town,1.679598762254277e+38,1.701271900709713e+38,2.620174069116672e+40
223863,ET2023A3182412,222784,Ethiopia,South Ethiopia,South Omo (Agr),Gelila town,1.728707108591457e+38,1.7011927722417105e+38,6.465364586132048e+40
223853,ET2023A3182101,222781,Ethiopia,South Ethiopia,Amaro,Kele town,1.113651316271549e+38,1.5966651427730041e+38,3.0625411197467597e+40
222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,2.199853480381475e+38,1.6267629546141451e+38,1.5618959710708475e+41
222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,1.2526335658867584e+38,1.6411581405809644e+38,4.3215858023093165e+40
223118,ET2023A3031007,222717,Ethiopia,Amhara,Oromia,Chef Robit town,1.6820775089518188e+38,1.701301876099184e+38,5.920912831510402e+40
223895,ET2023A3190213,222787,Ethiopia,Central Ethiopia,Hadiya,Gimbichu town,1.2164682923309727e+38,1.6308377433119581e+38,5.036178730250227e+40
223106,ET2023A3030911,222716,Ethiopia,Amhara,Awi,Adiss Kidame town,1.306754372400536e+38,1.6550067834961298e+38,5.07020696491408e+40
223849,ET2023A3181510,222779,Ethiopia,South Ethiopia,Gofa,Beto town,1.665516970889002e+38,1.7010330543186873e+38,7.89455044201387e+40
223068,ET2023A3030621,222713,Ethiopia,Amhara,East Gojam,Amanuel town,1.8997700797553334e+38,1.6898094129796159e+38,1.1569599785709981e+41
223823,ET2023A3181012,222776,Ethiopia,South Ethiopia,Gamo,Kemba town,1.1991643336918408e+38,1.625592026167783e+38,5.240348138233344e+40
